1	8.38	2
2	8.37	1
3	8.3	1
4	8.21	1
5	8.13	2
6	8.06	1
7	7.85	2
8	7.8	1
9	7.77	1
10	7.74	2
11	7.72	2
12	7.68	1
13	7.64	1
14	7.59	2
15	7.59	1
16	7.49	2
17	7.47	1
18	7.43	1
19	7.43	1
20	7.38	2
21	7.38	2
22	7.24	1
23	7.23	1
24	7.19	1
25	7.12	1
26	7.05	1
27	7.02	1
28	6.96	1
29	6.92	2
30	6.92	2
31	6.92	2
32	6.82	1
33	6.82	1
34	6.8	1
35	6.74	2
36	6.7	1
37	6.68	1
38	6.64	1
39	6.64	2
40	6.59	1
41	6.55	1
42	6.55	1
43	6.49	1
44	6.47	2
45	6.47	1
46	6.46	2
47	6.38	1
48	6.3	1
49	6.29	2
50	6.24	1
51	6.2	2
52	6.18	1
53	6.16	1
54	6.05	2
55	5.96	1
56	5.92	2
57	5.74	1
58	5.68	2
59	5.64	1
60	5.54	1
61	5.51	2
62	5.51	1
63	5.24	1
64	5.21	1
65	5.14	2
66	4.89	1
67	4.82	2
68	4.77	1
69	4.57	1
70	4.52	2
71	4.46	2
72	4.36	2
73	8.48	1
74	7.89	1
75	7.59	1
76	7.52	1
77	7.44	1
78	7.28	1
79	7.16	1
80	6.77	1
81	6.59	2
82	6.55	2
83	6.52	1
84	6.28	1
85	6.28	1
86	6.15	1
87	5.42	1
88	4.74	1
