1	2.8	1
10	1.7	1
11	1.8	1
12	2.3	2
13	2.4	1
14	1.5	1
15	1.8	2
16	2.3	1
17	2	2
18	2.1	1
19	1.8	2
2	1.3	1
20	3.4	1
21	2.7	1
22	3	2
23	2.1	2
24	2.6	1
25	2.5	1
26	1.7	1
27	3.4	1
28	1.9	1
29	1.4	2
3	1.9	1
30	2.3	1
31	1.6	1
32	3.7	1
33	2.6	2
34	3.7	1
35	3.4	1
36	4.4	1
37	4.5	1
38	4.4	1
39	4.4	1
4	1.6	1
40	4.1	2
41	4	1
42	3.9	2
43	3.4	1
44	2.3	1
45	4.8	1
46	3.5	2
47	3	2
48	2.7	2
49	2.6	1
5	1.6	1
50	2.4	1
51	2.4	1
52	1.7	2
53	2.1	1
54	2.9	2
55	2.6	2
56	5.5	1
57	6.8	2
58	4.2	1
59	2.1	1
6	1.6	1
60	2.1	1
61	1.8	1
62	1.8	2
63	1.6	2
64	4.1	1
65	3.3	2
66	4.4	2
7	1.8	1
8	2.1	2
9	2.8	1
